profile	score	sharpe	drawdown	ann_ret	beat	excess
PP_M_none	0.362953	0.362953	-0.181028	0.064646	False	-0.072353
PP_M_15	0.358359	0.358359	-0.164606	0.064103	False	-0.072897
PP_M_20	0.362953	0.362953	-0.181028	0.064646	False	-0.072353
PP_Q_none	0.374219	0.374219	-0.181151	0.065526	False	-0.071474
PP_Q_15	0.370241	0.370241	-0.164657	0.065026	False	-0.071974
PP_Q_20	0.374219	0.374219	-0.181151	0.065526	False	-0.071474
PP_Y_none	0.351637	0.351637	-0.176123	0.063764	False	-0.073236
PP_Y_15	0.379816	0.379816	-0.161659	0.065686	False	-0.071313
PP_Y_20	0.351637	0.351637	-0.176123	0.063764	False	-0.073236
30_30_30_M	0.414124	0.414124	-0.210400	0.073588	False	-0.063411
30_30_30_Q	0.424754	0.424754	-0.211246	0.074566	False	-0.062434
30_30_30_Y	0.400589	0.400589	-0.206985	0.072228	False	-0.064771
33_33_33_M	0.439308	0.439308	-0.229707	0.079508	False	-0.057492
33_33_33_Q	0.449510	0.449510	-0.230733	0.080516	False	-0.056483
33_33_33_Y	0.423755	0.423755	-0.227593	0.077744	False	-0.059255
40_30_20_M	0.522027	0.522027	-0.221788	0.082003	False	-0.054996
40_30_20_Q	0.540503	0.540503	-0.222612	0.083471	False	-0.053528
40_30_20_Y	0.508783	0.508783	-0.218486	0.080366	False	-0.056633
20_40_20_M	0.243240	0.243240	-0.218934	0.058150	False	-0.078849
20_40_20_Q	0.255023	0.255023	-0.219693	0.059126	False	-0.077873
20_40_20_Y	0.229895	0.229895	-0.212228	0.057128	False	-0.079871
